000024,	1353.823486,	957.470581,	305.355595,	197.094643,	882.174492,	225,	219,	144
000025,	1352.949951,	956.549988,	304.984803,	196.658536,	882.495213,	222,	219,	148
000026,	1353.000000,	956.941162,	305.338462,	197.084747,	883.438587,	241,	237,	161
000027,	1256.066650,	944.900024,	262.917802,	198.831369,	922.383785,	56,	60,	59
000028,	1245.625000,	954.541687,	257.308324,	204.715909,	923.855972,	69,	71,	70
000031,	1350.179077,	1047.865723,	250.566418,	203.970152,	728.683233,	30,	35,	38
000072,	615.266663,	529.044434,	-138.223209,	-53.091154,	1197.169590,	52,	56,	55
000073,	624.583313,	523.020813,	-131.418991,	-57.671406,	1198.690891,	58,	60,	59
000074,	637.660400,	517.433960,	-121.198735,	-61.641766,	1194.520473,	47,	51,	52
000075,	649.387756,	523.448975,	-112.147133,	-57.000532,	1191.373348,	54,	56,	55
000076,	647.904785,	524.666687,	-113.412769,	-56.173757,	1193.071270,	57,	59,	58
000077,	654.804321,	526.456543,	-108.134944,	-54.771724,	1191.605091,	53,	55,	54
000078,	658.119019,	527.404785,	-105.759810,	-54.113357,	1192.659473,	51,	52,	55
000079,	670.000000,	540.000000,	-96.901885,	-44.723947,	1192.638588,	52,	56,	57
000080,	694.139526,	541.372070,	-78.454978,	-43.450145,	1185.786915,	50,	54,	55
000081,	721.500000,	546.000000,	-57.975216,	-39.881041,	1181.660461,	54,	58,	60
000082,	745.750000,	539.875000,	-39.914287,	-44.236801,	1177.195549,	52,	56,	55
000083,	753.400024,	526.400024,	-34.272928,	-54.130644,	1176.753521,	54,	56,	55
000084,	752.023254,	518.906982,	-35.200869,	-59.498506,	1173.931026,	54,	56,	55
000085,	710.795898,	504.428558,	-65.778429,	-70.473657,	1179.827881,	61,	63,	62
000086,	628.174988,	489.274994,	-128.349204,	-82.708951,	1195.162010,	59,	63,	64
000087,	578.782593,	498.500000,	-165.953957,	-76.143767,	1200.295830,	56,	57,	59
000088,	537.621643,	497.054047,	-198.082365,	-77.718979,	1207.918930,	55,	57,	56
