0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.822152,	2.6578088,	2.6666667
0.8208862,	2.6402655,	2.6490066
0.8196204,	2.6229522,	2.631579
0.8183546,	2.6058655,	2.6143792
0.8170888,	2.588999,	2.5974026
0.815823,	2.5723503,	2.580645
0.8145572,	2.5559134,	2.5641026
0.8132914,	2.5396852,	2.5477707
0.8120256,	2.5236628,	2.5316455
0.8107598,	2.5078404,	2.5157232
0.80949396,	2.4922152,	2.5
0.8082282,	2.4767842,	2.484472
0.8069624,	2.4615426,	2.4691358
0.80569655,	2.4464872,	2.4539878
0.8044308,	2.4316156,	2.4390244
0.80316496,	2.4169228,	2.4242425
0.80189914,	2.402407,	2.4096386
0.8006334,	2.3880646,	2.3952096
0.79936755,	2.3738923,	2.3809524
0.7981017,	2.359887,	2.366864
0.79683596,	2.3460467,	2.3529413
0.79557014,	2.332367,	2.3391812
0.7943043,	2.318846,	2.3255813
0.79303855,	2.3054814,	2.3121388
0.7917727,	2.2922695,	2.2988505
0.7905069,	2.2792082,	2.2857144
0.78924114,	2.2662952,	2.2727273
0.7879753,	2.2535274,	2.259887
0.78670955,	2.240903,	2.247191
0.7854437,	2.2284188,	2.2346368
0.7841779,	2.216073,	2.2222223
0.7829121,	2.2038631,	2.2099447
0.7816463,	2.1917877,	2.1978023
0.7803805,	2.1798434,	2.1857924
0.77911466,	2.1680284,	2.173913
0.7778489,	2.1563413,	2.162162
0.7765831,	2.1447792,	2.1505377
0.7753173,	2.1333408,	2.1390374
0.7740515,	2.1220236,	2.1276596
0.77278566,	2.1108253,	2.1164021
0.7715199,	2.0997453,	2.1052632
0.7702541,	2.0887806,	2.094241
0.76898825,	2.0779297,	2.0833333
0.7677225,	2.0671916,	2.0725389
0.76645666,	2.0565634,	2.0618556
0.76519084,	2.0460436,	2.0512822
0.7639251,	2.0356317,	2.0408163
0.76265925,	2.0253248,	2.0304568
0.7613934,	2.0151215,	2.020202
0.76012766,	2.005021,	2.0100503
0.75886184,	1.9950209,	2.0
0.757596,	1.9851199,	1.9900497
0.75633025,	1.9753174,	1.980198
0.7550644,	1.9656105,	1.9704434
0.7537986,	1.9559987,	1.9607843
0.75253284,	1.9464809,	1.9512196
0.751267,	1.9370548,	1.9417475
0.7500012,	1.9277196,	1.9323672
0.74873537,	1.9184738,	1.9230769
0.74746954,	1.9093164,	1.9138756
0.7462038,	1.9002464,	1.9047619
0.74493796,	1.8912617,	1.8957345
0.74367213,	1.8823617,	1.8867924
0.74240637,	1.8735452,	1.8779342
0.74114054,	1.8648108,	1.8691589
0.7398747,	1.8561572,	1.8604652
0.73860896,	1.8475842,	1.8518518
0.73734313,	1.8390895,	1.843318
0.7360773,	1.8306726,	1.8348624
0.73481154,	1.8223327,	1.826484
0.7335457,	1.8140682,	1.8181819
0.7322799,	1.8058782,	1.8099548
0.73101413,	1.7977622,	1.8018018
0.7297483,	1.7897185,	1.7937219
0.7284825,	1.7817464,	1.7857143
0.7272167,	1.7738453,	1.7777778
0.7259509,	1.7660137,	1.7699115
0.7246851,	1.7582511,	1.7621145
0.7234193,	1.7505566,	1.754386
0.7221535,	1.742929,	1.7467248
0.72088766,	1.7353673,	1.7391304
0.7196219,	1.7278714,	1.7316017
0.7183561,	1.7204396,	1.7241379
0.71709025,	1.7130716,	1.7167382
0.7158244,	1.7057663,	1.7094017
0.7145586,	1.698523,	1.7021277
0.7132928,	1.691341,	1.6949153
0.71202695,	1.6842197,	1.6877637
0.71076113,	1.6771579,	1.6806723
0.7094953,	1.670155,	1.6736401
0.7082295,	1.6632106,	1.6666666
0.70696366,	1.6563236,	1.659751
0.70569783,	1.6494932,	1.6528926
0.704432,	1.6427191,	1.6460905
0.7031662,	1.6360004,	1.6393442
0.70190036,	1.6293364,	1.6326531
0.70063454,	1.6227264,	1.6260163
0.6993687,	1.6161699,	1.6194332
0.6981029,	1.6096663,	1.6129032
0.69683707,	1.6032146,	1.6064258
0.69557124,	1.5968146,	1.6
0.6943054,	1.5904654,	1.5936255
0.6930396,	1.5841664,	1.5873016
0.6917738,	1.5779172,	1.5810276
0.69050795,	1.571717,	1.5748031
0.6892421,	1.5655655,	1.5686275
0.6879763,	1.559462,	
