0109,	1049.524780,	799.416077,	196.909035,	157.366447,	1136.356107,	64,	75,	88
0110,	1090.497559,	793.487793,	227.110578,	151.268478,	1125.789948,	53,	61,	76
0111,	1117.699585,	781.518066,	247.931208,	141.655812,	1123.768973,	49,	60,	72
0112,	1144.754272,	773.819336,	268.088652,	135.165814,	1119.776277,	45,	52,	75
0113,	1172.567627,	768.931641,	287.408712,	130.318422,	1110.854823,	49,	60,	70
0114,	1216.882568,	741.393127,	325.815815,	110.506220,	1125.436293,	57,	67,	80
0115,	1237.985229,	734.256714,	341.922633,	104.810400,	1124.167076,	47,	57,	73
0116,	1260.994995,	722.892578,	362.577638,	96.656366,	1132.575817,	62,	71,	83
0117,	1256.341553,	676.692078,	376.194211,	63.222634,	1187.092564,	63,	69,	83
0121,	1266.452026,	633.705933,	398.688295,	28.809310,	1230.804280,	74,	83,	92
0122,	1298.754883,	634.995605,	423.033668,	29.682557,	1221.378485,	47,	58,	69
0123,	1300.261108,	620.665161,	431.231152,	17.813620,	1241.297465,	63,	73,	87
0124,	1300.476318,	593.729675,	441.859002,	-5.535925,	1271.342809,	55,	63,	78
0125,	1313.532471,	597.938599,	449.565047,	-1.804626,	1260.628575,	52,	63,	74
0126,	1332.168701,	593.983582,	465.246204,	-5.259828,	1258.913827,	55,	66,	77
0127,	1377.047729,	593.994019,	501.747927,	-5.222252,	1252.092339,	60,	71,	82
0130,	1469.072998,	600.074280,	581.172060,	0.064521,	1250.816840,	43,	54,	65
0131,	1517.394897,	624.280640,	612.093726,	20.716660,	1228.632827,	43,	53,	67
0132,	1556.960449,	627.300476,	646.576288,	23.319370,	1230.011248,	42,	52,	66
0133,	1373.176270,	1221.754028,	260.719641,	282.816099,	655.010162,	96,	129,	127
0138,	1597.657349,	727.434326,	626.045927,	100.017557,	1130.192243,	57,	69,	80
0139,	1581.741943,	711.101013,	622.185751,	88.424916,	1146.091111,	57,	69,	84
0140,	1551.380005,	727.878235,	585.487107,	99.644731,	1122.070578,	53,	65,	76
0141,	1527.261841,	728.568848,	563.217331,	99.568270,	1115.186975,	52,	62,	76
0142,	1499.110596,	729.818970,	538.695957,	100.031313,	1109.584337,	54,	65,	77
0143,	1478.814941,	730.588196,	521.967704,	100.414438,	1107.273024,	51,	65,	72
0144,	1457.296875,	739.151978,	501.142216,	106.093507,	1097.897832,	49,	60,	72
0145,	1435.293945,	758.447510,	474.743430,	118.404904,	1076.085437,	54,	63,	73
0146,	1409.543579,	775.005066,	446.312853,	128.140161,	1054.379916,	70,	81,	89
0147,	1402.791626,	806.818481,	425.339594,	145.934487,	1016.087462,	71,	80,	102
0148,	1393.354614,	841.431946,	399.149994,	162.411416,	968.688857,	67,	78,	88
0149,	1387.379395,	868.182007,	377.563086,	172.385396,	925.621234,	71,	83,	98
0150,	1386.265259,	902.542053,	360.149129,	185.854882,	884.607674,	82,	92,	106
