41, 100.68, 4891, 47
42, 100.68, 4073, 63
43, 100.68, 0, 15
44, 100.68, 6022, 52
45, 100.68, 7811, 36
46, 100.68, 5188, 53
47, 100.68, 5490, 47
48, 100.68, 7750, 43
49, 100.68, 7622, 35
50, 100.68, 7709, 55
51, 100.68, 7680, 31
52, 100.68, 5187, 41
53, 100.68, 5100, 54
54, 100.68, 7601, 35
55, 100.68, 0, 15
56, 100.68, 7747, 60
57, 100.68, 7889, 27
58, 100.68, 5749, 66
59, 100.68, 7767, 27
60, 100.68, 0, 22
61, 100.68, 4839, 30
62, 100.68, 8778, 33
63, 100.68, 9720, 60
32, 100.86, 4508, 51
33, 100.86, 4496, 58
34, 100.86, 0, 28
35, 100.86, 0, 15
36, 100.86, 4532, 46
37, 100.86, 4435, 40
38, 100.86, 4068, 62
39, 100.86, 4120, 59
40, 100.86, 4810, 54
41, 100.86, 4903, 51
42, 100.86, 4070, 62
43, 100.86, 4193, 76
44, 100.86, 5966, 67
45, 100.86, 7811, 40
46, 100.86, 5215, 53
47, 100.86, 5455, 47
48, 100.86, 7763, 33
49, 100.86, 7632, 37
50, 100.86, 7710, 57
51, 100.86, 4504, 63
52, 100.86, 5211, 48
53, 100.86, 0, 15
54, 100.86, 4308, 41
55, 100.86, 5127, 76
56, 100.86, 7752, 61
57, 100.86, 7908, 30
58, 100.86, 5742, 59
59, 100.86, 7735, 46
60, 100.86, 9627, 31
61, 100.86, 4852, 51
62, 100.86, 7686, 25
63, 100.86, 9730, 63
0, 100.95, 2308, 69
1, 100.95, 2230, 123
2, 100.95, 3491, 136
3, 100.95, 3516, 61
4, 100.95, 2260, 151
5, 100.95, 1900, 134
6, 100.95, 2028, 112
7, 100.95, 2043, 122
8, 100.95, 2344, 79
9, 100.95, 2448, 85
10, 100.95, 2083, 93
11, 100.95, 2156, 67
12, 100.95, 0, 27
13, 100.95, 2889, 68
14, 100.95, 2479, 158
15, 100.95, 2540, 70
16, 100.95, 3379, 109
17, 100.95, 3130, 139
18, 100.95, 2601, 103
19, 100.95, 2591, 137
20, 100.95, 0, 28
21, 100.95, 3265, 66
22, 100.95, 2656, 90
23, 100.95, 2704, 78
24, 100.95, 3743, 92
25, 100.95, 3618, 77
26, 100.95, 3425, 81
27, 100.95, 3339, 85
28, 100.95, 3736, 111
29, 100.95, 3816, 84
30, 100.95, 3329, 177
31, 100.95, 3418, 135
32, 101.13, 4516, 56
33, 101.13, 4528, 55
34, 101.13, 4721, 52
35, 101.13, 5335, 40
36, 101.13, 4546, 55
37, 101.13, 4445, 54
38, 101.13, 4070, 59
39, 101.13, 4124, 59
40, 101.13, 0, 27
41, 101.13, 0, 15
42, 101.13, 0, 29
43, 101.13, 4218, 61
44, 101.13, 5916, 51
45, 101.13, 7826, 41
46, 101.13, 5199, 59
47, 101.13, 5476, 53
48, 101.13, 7759, 35
49, 101.13, 7640, 35
50, 101.13, 7725, 57
51, 101.13, 7694, 39
52, 101.13, 0, 26
53, 101.13, 5268, 59
54, 101.13, 4478, 73
55, 101.13, 5157, 55
56, 101.13, 7778, 61
57, 101.13, 7914, 31
58, 101.13, 5665, 54
59, 101.13, 7670, 78
60, 101.13, 7662, 24
61, 101.13, 0, 15
62, 101.13, 7699, 29
63, 101.13, 9757, 37
32, 101.31, 4492, 51
33, 101.31, 4563, 54
34, 101.31, 4720, 53
35, 101.31, 0, 15
36, 101.31, 4549, 49
37, 101.31, 0, 15
38, 101.31, 4083, 67
39, 101.31, 4113, 77
40, 101.31, 4695, 66
41, 101.31, 0, 15
42, 101.31, 0, 27
43, 101.31, 4216, 68
44, 101.31, 5553, 62
45, 101.31, 7836, 43
46, 101.31, 5191, 55
47, 101.31, 5447, 47
48, 101.31, 7765, 39
49, 101.31, 7644, 36
50, 101.31, 7724, 52
51, 101.31, 4534, 48
52, 101.31, 5249, 62
53, 101.31, 5214, 59
54, 101.31, 4490, 55
55, 101.31, 0, 15
56, 101.31, 7777, 64
57, 101.31, 7868, 28
58, 101.31, 5528, 59
59, 101.31, 7681, 53
60, 101.31, 8710, 25
61, 101.31, 0, 15
62, 101.31, 7706, 30
63, 101.31, 0, 15
32, 101.4, 0, 27
33, 101.4, 4580, 65
34, 101.4, 4676, 46
35, 101.4, 5100, 41
36, 101.4, 0, 27
37, 101.4, 4414, 41
38, 101.4, 4084, 85
39, 101.4, 4118, 66
40, 101.4, 4632, 53
41, 101.4, 4904, 50
42, 101.4, 4091, 66
43, 101.4, 0, 15
44, 101.4, 5552, 58
45, 101.4, 0, 15
46, 101.4, 5180, 50
47, 101.4, 5447, 47
48, 101.4, 7772, 38
49, 101.4, 7658, 36
50, 101.4, 5447, 50
51, 101.4, 4553, 57
52, 101.4, 0, 27
53, 101.4, 0, 15
54, 101.4, 4564, 47
55, 101.4, 5203, 47
56, 101.4, 7790, 62
57, 101.4, 7843, 25
58, 101.4, 5629, 55
59, 101.4, 7694, 57
60, 101.4, 8644, 25
61, 101.4, 4899, 60
62, 101.4, 7718, 31
63, 101.4, 9791, 39
0, 101.58, 2298, 70
1, 101.58, 2242, 115
2, 101.58, 3487, 110
3, 101.58, 3493, 70
4, 101.58, 2255, 149
5, 101.58, 2266, 140
6, 101.58, 2026, 110
7, 101.58, 2041, 127
8, 101.58, 2336, 78
9, 101.58, 2455, 87
10, 101.58, 2081, 73
11, 101.58, 2144, 65
12, 101.58, 2852, 92
13, 101.58, 2893, 58
14, 101.58, 2491, 133
15, 101.58, 2527, 75
16, 101.58, 3379, 109
17, 101.58, 3160, 129
18, 101.58, 2595, 97
19, 101.58, 2592, 141
20, 101.58, 3238, 80
21, 101.58, 3285, 59
22, 101.58, 2651, 101
23, 101.58, 2700, 82
24, 101.58, 3741, 80
25, 101.58, 3646, 79
26, 101.58, 3446, 75
27, 101.58, 3362, 59
28, 101.58, 3726, 119
29, 101.58, 3804, 72
30, 101.58, 3373, 159
31, 101.58, 3442, 129
32, 101.76, 4529, 43
33, 101.76, 4554, 65
34, 101.76, 4586, 69
35, 101.76, 5066, 62
36, 101.76, 4578, 59
37, 101.76, 4442, 40
38, 101.76, 4105, 67
39, 101.76, 4132, 82
40, 101.76, 4583, 51
41, 101.76, 4890, 46
42, 101.76, 4086, 63
43, 101.76, 4165, 59
44, 101.76, 5534, 63
45, 101.76, 7798, 84
46, 101.76, 5263, 59
47, 101.76, 5449, 46
48, 101.76, 7782, 38
49, 101.76, 7669, 37
50, 101.76, 7373, 56
51, 101.76, 7702, 41
52, 101.76, 5105, 45
53, 101.76, 5169, 59
54, 101.76, 7648, 41
55, 101.76, 5215, 59
56, 101.76, 7906, 41
57, 101.76, 7818, 71
58, 101.76, 5549, 59
59, 101.76, 7730, 55
60, 101.76, 7749, 22
61, 101.76, 0, 15
62, 101.76, 7730, 30
63, 101.76, 7693, 30
32, 101.94, 4551, 48
33, 101.94, 4569, 58
34, 101.94, 0, 30
35, 101.94, 0, 15
36, 101.94, 4584, 54
37, 101.94, 4461, 41
38, 101.94, 4095, 64
39, 101.94, 4122, 67
40, 101.94, 4583, 62
41, 101.94, 0, 15
42, 101.94, 0, 31
43, 101.94, 4175, 97
44, 101.94, 5521, 60
45, 101.94, 7731, 62
46, 101.94, 5271, 53
47, 101.94, 5356, 54
48, 101.94, 7796, 37
49, 101.94, 7675, 37
50, 101.94, 7716, 44
51, 101.94, 7723, 43
52, 101.94, 7624, 33
53, 101.94, 5180, 53
54, 101.94, 7643, 41
55, 101.94, 5172, 46
56, 101.94, 7975, 36
57, 101.94, 7686, 52
58, 101.94, 5525, 64
59, 101.94, 7715, 56
60, 101.94, 8422, 25
61, 101.94, 0, 15
62, 101.94, 7739, 28
63, 101.94, 7693, 44
32, 102.02, 4556, 45
33, 102.02, 4571, 53
34, 102.02, 4632, 42
35, 102.02, 0, 15
36, 102.02, 4637, 52
37, 102.02, 4478, 38
38, 102.02, 4094, 88
39, 102.02, 4111, 79
40, 102.02, 0, 29
41, 102.02, 4819, 50
42, 102.02, 4080, 50
43, 102.02, 4226, 58
44, 102.02, 5547, 62
45, 102.02, 5999, 44
46, 102.02, 5292, 67
47, 102.02, 5455, 51
48, 102.02, 7795, 38
49, 102.02, 7666, 37
50, 102.02, 7402, 60
51, 102.02, 7701, 40
52, 102.02, 7633, 35
53, 102.02, 5173, 64
54, 102.02, 4663, 47
55, 102.02, 5187, 57
56, 102.02, 0, 24
57, 102.02, 7675, 62
58, 102.02, 5509, 66
59, 102.02, 7720, 57
60, 102.02, 7789, 21
61, 102.02, 9718, 29
62, 102.02, 7749, 26
63, 102.02, 7695, 47
0, 102.2, 2303, 71
1, 102.2, 2239, 109
2, 102.2, 3468, 104
3, 102.2, 3532, 59
4, 102.2, 2260, 143
5, 102.2, 2244, 130
6, 102.2, 2034, 108
7, 102.2, 2049, 118
8, 102.2, 2346, 76
9, 102.2, 2445, 80
10, 102.2, 2081, 68
11, 102.2, 2147, 65
12, 102.2, 2848, 59
13, 102.2, 2903, 68
14, 102.2, 2493, 129
15, 102.2, 2542, 70
16, 102.2, 3379, 98
17, 102.2, 3156, 144
18, 102.2, 2608, 96
19, 102.2, 2601, 143
20, 102.2, 0, 27
21, 102.2, 3281, 61
22, 102.2, 2662, 100
23, 102.2, 2703, 79
24, 102.2, 3763, 86
25, 102.2, 3638, 88
26, 102.2, 3472, 70
27, 102.2, 3382, 83
28, 102.2, 3698, 126
29, 102.2, 3798, 100
30, 102.2, 3370, 174
31, 102.2, 3434, 150
32, 102.38, 4548, 53
33, 102.38, 4581, 66
34, 102.38, 4520, 51
35, 102.38, 4549, 29
36, 102.38, 4606, 47
37, 102.38, 4513, 43
38, 102.38, 4081, 72
39, 102.38, 0, 15
40, 102.38, 4534, 60
41, 102.38, 4923, 47
42, 102.38, 4099, 62
43, 102.38, 4220, 66
44, 102.38, 5471, 59
45, 102.38, 5901, 47
46, 102.38, 5265, 56
47, 102.38, 0, 15
48, 102.38, 7806, 36
49, 102.38, 7679, 37
50, 102.38, 7406, 72
51, 102.38, 7698, 39
52, 102.38, 7638, 32
53, 102.38, 0, 15
54, 102.38, 7691, 34
55, 102.38, 0, 15
56, 102.38, 0, 21
57, 102.38, 7692, 55
