000098,	673.727966,	820.102966,	-67.761817,	118.114650,	858.613777,	43,	52,	60
000099,	735.274658,	845.859131,	-33.393194,	126.844005,	825.474358,	39,	48,	57
000100,	767.451599,	853.387085,	-16.696011,	129.977307,	820.735168,	41,	48,	56
000101,	839.504150,	859.140503,	19.773201,	129.708833,	800.855637,	31,	40,	49
000102,	873.000000,	901.131592,	34.673457,	143.031141,	759.966183,	26,	35,	44
000103,	897.086426,	923.351868,	44.746533,	149.030874,	737.430096,	28,	37,	46
000104,	919.789490,	959.952637,	53.009915,	159.288255,	708.040953,	41,	50,	59
000105,	905.077759,	941.833313,	47.779047,	155.432227,	727.522898,	26,	34,	45
000106,	888.582397,	934.571411,	40.817577,	154.166007,	737.258482,	29,	36,	46
000107,	873.766663,	939.719971,	34.033390,	156.735061,	738.184738,	25,	32,	42
000108,	827.008118,	887.764221,	13.273704,	141.427742,	786.353445,	19,	27,	38
000109,	816.218994,	915.145996,	7.838084,	152.299250,	773.225117,	42,	51,	59
000110,	744.965210,	866.695679,	-28.513798,	138.176357,	828.967953,	35,	44,	51
000111,	717.500000,	868.457642,	-43.101941,	140.255095,	835.916424,	35,	44,	51
000112,	665.349487,	852.640747,	-72.989333,	136.947713,	867.304039,	35,	44,	53
000113,	575.413818,	835.976990,	-127.980696,	134.471761,	911.761856,	33,	42,	49
000114,	523.346130,	872.576904,	-151.803055,	149.565979,	877.937794,	57,	65,	76
000115,	451.928558,	849.683655,	-199.035111,	142.774753,	914.916134,	65,	74,	83
000116,	370.441162,	836.980408,	-256.591570,	141.557266,	955.739880,	116,	121,	117
000117,	473.446808,	941.978699,	-172.661848,	180.817936,	845.984554,	53,	61,	72
000118,	425.077576,	962.293091,	-200.595038,	193.837956,	856.049252,	65,	75,	77
000119,	884.148132,	1133.129639,	34.512689,	218.658890,	656.227303,	38,	48,	58
000120,	869.050842,	1136.237305,	28.409207,	220.621158,	658.279181,	30,	39,	48
000121,	375.768127,	950.913025,	-235.782950,	195.033221,	889.260674,	49,	58,	66
000122,	340.575745,	917.681824,	-267.059523,	184.665819,	930.066776,	59,	68,	75
